"No.","Time","Source","Destination","Protocol","Length","Info"
"313","13.102548","161.69.17.48","192.168.43.56","TLSv1.2","1424","Server Hello"
"314","13.105813","161.69.17.48","192.168.43.56","TCP","1424","443  >  61651 [ACK] Seq=1371 Ack=215 Win=4110 Len=1370 [TCP segment of a reassembled PDU]"
"315","13.105956","192.168.43.56","161.69.17.48","TCP","54","61651  >  443 [ACK] Seq=215 Ack=2741 Win=64390 Len=0"
"316","13.109344","161.69.17.48","192.168.43.56","TCP","1424","443  >  61651 [PSH, ACK] Seq=2741 Ack=215 Win=4110 Len=1370 [TCP segment of a reassembled PDU]"
"317","13.160156","192.168.43.56","161.69.17.48","TCP","54","61651  >  443 [ACK] Seq=215 Ack=4111 Win=64390 Len=0"
"318","13.237687","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"319","13.255072","52.112.89.131","192.168.43.56","UDP","141","3481  >  50049 Len=99"
"320","13.258713","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"321","13.269729","192.168.43.56","52.112.89.131","UDP","158","50037  >  3480 Len=116"
"322","13.270095","192.168.43.56","52.112.89.131","UDP","158","50049  >  3481 Len=116"
"323","13.270483","192.168.43.56","52.112.89.131","UDP","158","50057  >  3481 Len=116"
"324","13.293821","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50001"
"325","13.310783","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"326","13.412448","161.69.17.48","192.168.43.56","TLSv1.2","837","Certificate, Server Hello Done"
